title,label,flag
"Looking for a specific video",Improvement_Seeking,review:misc-OOS
"What was the Sage crystallization plotline all for? All just for a map?",Salt_Vent,review:lore
"which was the last good bundle without vandal and sheriff?",Improvement_Seeking,review:store-OOS
"Why are my Elo Gains so bad?",Salt_Vent,
"How are agents currently unlocked in Valorant? I remember they used to be free to recruit, but now it won't let me.",Improvement_Seeking,review:mechanics-OOS
"Returning and looking for content",Improvement_Seeking,review:content-OOS
"Champs Shanghai Tickets?",Improvement_Seeking,review:tickets-OOS
"How do Indian Valorant players find tournaments, scrims, and teammates?",Improvement_Seeking,review:LFG-OOS
"Why do people recommend low advance settings?",Improvement_Seeking,
"Get ready for our arrival, worms",Tactical_Analysis,review:banter-clip-OOS
"Hypothetical: How would you feel about Agent variations?",Tactical_Analysis,review:discussion
"BREAKING: Anna Donlon confirms ranked changes are coming to VALORANT in 2026",Tactical_Analysis,review:news-OOS
"Lev Neon actually goated?",Tactical_Analysis,review:esports-opinion-OOS
"How riot expect you to rank up properly?",Salt_Vent,
"The new map, Sage's crystallization, and Omen.",Tactical_Analysis,review:lore-discussion-OOS
"1600 DPI Sens?",Improvement_Seeking,
"How did FNS surpassed everyone when it comes to watch parties he get more views then the main VCT Channel lol",Tactical_Analysis,review:esports-discussion-OOS
"Agent Fan Concept | Vera (Initiator)",Tactical_Analysis,review:fan-concept-OOS
"THROUGH THE CRACKS // Summit Official Map Reveal Trailer - VALORANT",Tactical_Analysis,review:news-OOS
"Where to find about valorant new BP leaks? and will they come out before the current bp ends?",Improvement_Seeking,review:battlepass-OOS
"After 4 Years I am Immortal solo queue",Tactical_Analysis,review:brag-achievement-OOS
"Being Positive ?",Improvement_Seeking,review:meta-OOS
"how to make a card and save any social media in valorant",Improvement_Seeking,review:misc-OOS
"Whats up with the Rank System",Salt_Vent,
"Am I crazy?",Improvement_Seeking,
"How to be an esports player?",Improvement_Seeking,review:career-OOS
"viper or omen or fade",Improvement_Seeking,
"Which site is easier to hit as attackers",Improvement_Seeking,
"Does this mean my mmr is high?",Improvement_Seeking,review:rank-mechanics
"Looking for good map related info for pearl and split - my lowest win rate maps.",Improvement_Seeking,
"What is this skin called I only have a finisher description",Improvement_Seeking,review:skin-id-OOS
"How do people look for players?",Improvement_Seeking,review:LFG-OOS
"Why raze is a must pick on lotus",Tactical_Analysis,
"How to be more consistent and confident?",Improvement_Seeking,
"Como trocar o # do Team da Premier?",Improvement_Seeking,review:how-to-non-English-OOS
"bro recognized me after 1 year then his friends exposed him #valorant #shorts #funny #fyp #reels",Tactical_Analysis,review:clip-meme-OOS
"Rank reset and Hidden MMR?",Improvement_Seeking,review:rank-mechanics
"Cs Go players are just Edgy",Tactical_Analysis,review:opinion-OOS
"new battle pas act 4 2026",Improvement_Seeking,review:battlepass-OOS
"1v5 pistol round, what's my rank?",Improvement_Seeking,review:guess-rank-clip-OOS
"Best Mouse Skates for VALORANT in 2026?",Improvement_Seeking,review:hardware-OOS
"Valorant Reset",Improvement_Seeking,review:rank-mechanics
"I thought this game was toxic until…",Tactical_Analysis,review:opinion-OOS
"Made up lore behind Skin bundles",Tactical_Analysis,review:fan-lore-OOS
"Can I get your opinions on how to do a better montage? and what do you think of this one?",Improvement_Seeking,review:content-editing-OOS
"How do you warm up before playing competitive matches?",Improvement_Seeking,
"Unwinnable situation on pistol (1v5)",Salt_Vent,review:clip-OOS
"How many hours did you grinded valorant in order to reach level 400+?",Improvement_Seeking,
